ts	proc	pid	state	local	remote
03:38:11.787	codex-acp	167457	SYN-SENT	10.2.0.2:48436	104.18.3.115:443
03:38:12.002	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:12.218	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:12.425	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:12.640	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:15.699	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:15.904	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:16.121	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
03:38:16.337	codex-acp	167457	ESTAB	10.2.0.2:48436	104.18.3.115:443
