epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789002776	1	10525	10525	warp	27343	400
1789002779	1	10562	10562	warp	27322	400
1789002781	1	10657	10657	warp	27288	400
1789002783	1	10885	10885	warp	27075	400
1789002785	1	11071	11071	warp	26966	400
1789002787	1	11373	11373	warp	26683	400
1789002789	1	11500	11500	warp	26437	400
1789002793	1	11626	11626	warp	26331	400
1789002795	1	11796	11796	warp	26201	400
1789002797	1	11142	11142	warp	26547	400
1789002799	1	9684	9684	warp	28032	400
1789002801	1	10081	10081	warp	27735	400
1789002803	1	9194	9194	warp	28393	400
1789002805	1	8151	8151	warp	29366	400
1789002807	1	8383	8383	warp	29185	400
1789002809	1	5991	5991	warp	31388	400
1789002811	1	6084	6084	warp	31386	400
1789002814	1	6178	6178	warp	31343	400
1789002816	1	5101	5101	warp	32291	400
1789002818	1	4116	4116	warp	33245	400
1789002820	1	3102	3102	warp	34365	400
1789002822	1	3109	3109	warp	34458	400
1789002826	1	3121	3121	warp	34502	400
1789002828	1	3163	3163	warp	34539	400
1789002830	1	3222	3222	warp	34520	400
1789002832	1	3265	3265	warp	34540	400
1789002834	1	3301	3301	warp	34545	400
1789002836	1	2249	2249	warp	36660	400
