epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789003954	0	0	0	-	38145	400
1789003956	1	1077	1077	warp	37197	400
1789003958	1	1632	1632	warp	36658	400
1789003960	1	1952	1952	warp	36400	400
1789003962	1	2339	2339	warp	35979	400
1789003964	1	2678	2678	warp	35830	400
1789003966	1	2828	2828	warp	35709	400
1789003968	1	2825	2825	warp	35698	400
1789003972	1	2874	2874	warp	35691	400
1789003974	1	3033	3033	warp	35551	400
1789003976	1	3220	3220	warp	35374	400
1789003978	1	3287	3287	warp	35339	400
1789003980	1	3422	3422	warp	35214	400
1789003982	1	3561	3561	warp	35073	400
1789003984	1	3690	3690	warp	34951	400
1789003986	1	3854	3854	warp	34798	400
1789003988	1	4006	4006	warp	34636	400
1789003990	1	4206	4206	warp	34425	400
1789003992	1	4355	4355	warp	34295	400
1789003994	1	4546	4546	warp	34120	400
1789003996	1	4685	4685	warp	33987	400
1789003998	1	4841	4841	warp	33827	400
1789004000	1	4985	4985	warp	33690	400
1789004002	1	5143	5143	warp	33536	400
1789004007	1	5325	5325	warp	33351	400
1789004009	1	5468	5468	warp	33209	400
1789004011	1	5612	5612	warp	33064	400
1789004013	1	5724	5724	warp	32952	400
1789004015	1	5856	5856	warp	32830	400
1789004017	1	5948	5948	warp	32713	400
1789004019	1	6015	6015	warp	32645	400
1789004021	1	6083	6083	warp	32567	400
1789004023	1	6114	6114	warp	32552	400
1789004025	1	6187	6187	warp	32470	400
1789004027	1	6378	6378	warp	32173	400
1789004029	1	6470	6470	warp	32173	400
1789004031	1	6516	6516	warp	32136	400
1789004033	1	6537	6537	warp	32114	400
1789004035	1	6559	6559	warp	32086	400
1789004037	1	6833	6833	warp	31821	400
1789004042	1	7073	7073	warp	31598	400
1789004044	1	7211	7211	warp	31464	400
1789004046	1	7316	7316	warp	31370	400
1789004048	1	7482	7482	warp	31137	400
1789004050	1	7510	7510	warp	31136	400
1789004052	1	7641	7641	warp	31002	400
1789004054	1	7760	7760	warp	30900	400
1789004056	1	7799	7799	warp	30898	400
1789004058	1	7842	7842	warp	30872	400
1789004060	1	7940	7940	warp	30737	400
1789004062	1	7988	7988	warp	30705	400
1789004064	1	8025	8025	warp	30666	400
1789004066	1	8044	8044	warp	30666	400
1789004068	1	8073	8073	warp	30645	400
1789004070	1	8251	8251	warp	30380	400
1789004072	1	8441	8441	warp	30217	400
1789004076	1	8545	8545	warp	30104	400
1789004078	1	8690	8690	warp	29941	400
1789004080	1	8787	8787	warp	29862	400
1789004082	1	8669	8669	warp	29938	400
1789004084	1	9031	9031	warp	29634	400
1789004086	1	9545	9545	warp	28975	400
1789004088	1	10133	10133	warp	28404	400
1789004090	1	10532	10532	warp	28013	400
1789004093	1	11017	11017	warp	27565	400
1789004095	1	11413	11413	warp	27182	400
1789004097	1	11684	11684	warp	26889	400
1789004099	1	12011	12011	warp	26509	400
1789004101	1	12179	12179	warp	26368	400
1789004103	1	12339	12339	warp	26281	400
1789004105	1	12439	12439	warp	26152	400
1789004107	1	12072	12072	warp	26343	400
1789004111	1	12368	12368	warp	26061	400
1789004113	1	12346	12346	warp	26061	400
1789004115	1	12399	12399	warp	26025	400
1789004117	1	12110	12110	warp	26176	400
1789004119	1	10884	10884	warp	27065	400
1789004121	1	10831	10831	warp	27036	400
1789004123	1	10762	10762	warp	27088	400
1789004125	1	10735	10735	warp	27036	400
1789004128	1	10577	10577	warp	27078	400
1789004130	1	10239	10239	warp	27198	400
1789004132	1	10400	10400	warp	27249	400
1789004134	1	10469	10469	warp	27309	400
1789004136	1	10451	10451	warp	27401	400
1789004138	1	10493	10493	warp	27330	400
1789004140	1	10614	10614	warp	27375	400
1789004144	1	10795	10795	warp	27198	400
1789004146	1	10882	10882	warp	27181	400
1789004148	1	10877	10877	warp	27255	400
1789004150	1	10875	10875	warp	27252	400
1789004152	1	10965	10965	warp	27285	400
1789004154	1	11002	11002	warp	27231	400
1789004156	1	11113	11113	warp	27223	400
1789004158	1	11064	11064	warp	27136	400
1789004160	1	6919	6919	warp	30582	400
